"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Verspreide huizen Papenvoort";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";6,4;0;0;0,1;3,8;0;0;1,4;6,9;0;1;6,1
"Verspreide huizen Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";6,3;0;0;0,3;2,8;0,1;0,9;2,4;9,2;0;0,7;5,8
"Wijk 21 Ekehaar";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";5,1;0;0,1;0,4;4,8;0;0,1;1,6;7,5;0;2;6,2
"Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";5,2;0;0;0,1;5,1;0;0;0,3;7,1;0;2;6
"Amen";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";5,8;0;0;0;4,6;0;0;1,2;8,5;0;2;6
"Verspreide huizen Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";4,4;0;0,2;1,4;4,4;0;0,4;3,9;7,5;0,1;2;6,7
"Aalsmeer";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";"1";0,8;1,2;4,9;11;0,9;3,4;12,5;30,2;3,2;0,9;4,4;31,3
"Wijk 00 Aalsmeer";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";0,7;1,6;6,5;12;0,8;5,4;19,3;29,6;1,5;1;4,8;33,5
"Centrum";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";0,5;3;6,1;11,5;0,5;8,7;18,1;27,6;0,6;1;4,8;34,2
"Stommeer";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";0,8;1,3;7;12,4;0,6;6,4;19,6;30,6;1,5;1;5,2;34,6
"Hornmeer";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";0,5;1;6,2;13,1;1,6;0;20,8;31,5;2,3;1;4,1;31,9
"Uiterweg";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";1,4;1,1;4,9;7,9;1,4;3,7;15,7;21,6;1,5;1;3,8;27,5
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";1;0,5;1,5;6,4;0,8;2,4;5,5;22,6;4,6;0,8;2,5;24,6
"Kudelstaart";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";1;0,5;1,5;6,4;0,8;2,4;5,5;22,6;4,6;0,8;2,5;24,6
"Wijk 02 Oosteinde";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";0,9;1,4;5,6;13,6;1;1,6;9,9;37,8;4,3;0,9;5,5;34,3
"Bovenlanden";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";1,1;0,4;6,4;12,4;1,1;0,4;13,6;31,1;2,8;1;5,6;36,2
"Greenpark";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";0,8;1;5,7;12,1;1,2;0,7;10,9;30;3,8;1;5,3;34,5
"Oosteinde";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";0,8;1,7;5,6;13,9;0,8;2;9,3;39,5;4,6;0,8;5,4;33,8
"Schinkelpolder";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";2,2;0;4,4;13,9;2;0;8,6;45,8;4,8;0,7;6,2;36,8
"Aalten";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";1,4;1,1;2,5;3,4;1,1;3,1;7,5;9,8;1,7;1;2,7;7,4
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";3,6;0;0,8;3;3,3;0,1;3,1;9,8;3,9;0,9;2,6;7,9
"Barlo-Kern";"Aalten                                  ";"Buurt     ";"BU01970101";"1";3,5;0;0;7,1;2,9;0;0,8;21,5;3,7;2;2;10
"Verspreide huizen Barlo";"Aalten                                  ";"Buurt     ";"BU01970102";"1";3,1;0;0,6;5,6;2,9;0;3,1;20,1;3,4;1,5;2,4;9,4
"Verspreide huizen Heurne";"Aalten                                  ";"Buurt     ";"BU01970103";"1";3,2;0;1;3;2,5;0,1;4,5;11;3,3;1;2;7
"Verspreide huizen IJzerlo";"Aalten                                  ";"Buurt     ";"BU01970104";"1";4,4;0;0,2;2;3,9;0;0,4;5,4;4,7;0,6;2,4;6,5
"IJzerlo-kern";"Aalten                                  ";"Buurt     ";"BU01970105";"1";5,1;0;0;0,4;4,8;0;0;1,9;5,2;0,1;2;6
"Lintelo-kern";"Aalten                                  ";"Buurt     ";"BU01970106";"1";4,8;0;0;2;4,9;0;0;2,8;5,3;0;3,5;9
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";"Buurt     ";"BU01970107";"1";2,3;0;2,3;3;2,5;0;6,6;11;3,1;1;3,6;7,9
"Verspreide huizen Lintelo";"Aalten                                  ";"Buurt     ";"BU01970108";"1";4,6;0;0,1;2;4,2;0;0,1;5,7;5;0,5;3,5;9,1
"Verspreide huizen Dalese Veld";"Aalten                                  ";"Buurt     ";"BU01970109";"1";3,9;0;0,1;3,1;3,8;0;0,1;12,7;4,2;1;3;9,5
"Verspreide huizen Dale";"Aalten                                  ";"Buurt     ";"BU01970110";"1";2;0,1;2,4;3,7;1,8;0,7;9,3;12,1;2,1;1;2,8;8,1
"Verspreide huizen Haart";"Aalten                                  ";"Buurt     ";"BU01970111";"1";3,7;0;0,6;2,6;3,6;0;2,8;8,7;3,8;0,8;1,8;6,5
"Haart-kern";"Aalten                                  ";"Buurt     ";"BU01970112";"1";3,5;0;0;1;4,2;0;0;3;5;0,7;2;6
"Wijk 02 Bredevoort";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";0,9;0,8;1,2;3,9;0,7;0,8;2,4;11,7;3,3;1;3;6,5
"Verspreide huizen Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970201";"1";2,5;0;0,8;3,3;1,9;0,2;0,9;10;4,3;0,9;2,8;7,2
"Verspreide huizen Hollenberg";"Aalten                                  ";"Buurt     ";"BU01970202";"1";1,9;0;3,1;4;1,4;0,1;10;12;2,1;1;2,7;7
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";"Buurt     ";"BU01970203";"1";1,3;0,5;1;3,7;1,9;0;1,5;11,4;3,6;1;3;6,2
"Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970204";"1";0,5;1;1;4;0,4;1;1,6;12;3,3;1;3;6,4
"Wijk 03 Aalten Kern";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";1;1,1;3;3,8;0,7;4,2;11,1;12;1,2;1;2,9;7,6
"Aalten-kern West";"Aalten                                  ";"Buurt     ";"BU01970301";"1";0,6;2,6;3;3,9;0,8;2,7;11;12;1,3;1;3;8
"Aalten-kern Zuid 1";"Aalten                                  ";"Buurt     ";"BU01970302";"1";1,2;0,3;3;3,8;0,6;2,7;11;12;1,4;1;3,1;7
"Aalten-kern Zuid 2";"Aalten                                  ";"Buurt     ";"BU01970303";"1";1,8;0;3;3,8;1,1;0,9;11;12;1,8;1;2,7;7
"Aalten-kern Noord/Noordoost";"Aalten                                  ";"Buurt     ";"BU01970304";"1";0,8;1;3,1;4;0,5;6,8;11,5;12;0,7;1;2,9;7,9
"Aalten Kern 't Kobus";"Aalten                                  ";"Buurt     ";"BU01970305";"1";1,4;0,1;3;3;1,6;0;11;11,6;2,2;1;3;8
"Aalten-kern Oost";"Aalten                                  ";"Buurt     ";"BU01970306";"1";1,3;0,1;3;4;0,9;2,4;11;12;0,9;1;2,2;7,2
"Aalten-kern Centrum";"Aalten                                  ";"Buurt     ";"BU01970307";"1";0,5;2,5;3;4;0,3;8,7;11,1;12;0,7;1;3;7,8
"Wijk 04 Dinxperlo";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";1,1;1,7;2,7;2,9;0,8;3,3;5,2;5,9;1,1;1;2,2;7,1
"Dinxperlo Centrum/Oost";"Aalten                                  ";"Buurt     ";"BU01970400";"1";0,4;2,8;3;3;0,5;4,8;5,3;6;0,6;1;1,9;7
"Dinxperlo Noord";"Aalten                                  ";"Buurt     ";"BU01970401";"1";0,8;1,6;3;3;0,8;3,4;6;6;0,8;1;2,1;7
"Dinxperlo West";"Aalten                                  ";"Buurt     ";"BU01970402";"1";0,9;1,2;3;3;0,9;3,1;5,9;6;0,9;1;2;7
"De Heurne-kern";"Aalten                                  ";"Buurt     ";"BU01970403";"1";3,5;0;0;3;0,7;0,8;1;6;3,5;1;4;8,6
