"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Verspreide huizen Dinxperlo";"Aalten                                  ";"Buurt     ";"BU01970408";"1";1,6;0;3;3;1,5;0;5,8;6;1,6;1;2,4;6,5
"Verspreide huizen De Heurne";"Aalten                                  ";"Buurt     ";"BU01970409";"1";4;0;0,6;2,1;1,9;0,2;2;4,6;4,1;0,7;3,5;7,7
"Achtkarspelen";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";"1";1,7;0,9;2,5;4,1;1,3;3,6;8,1;13,9;4,8;0,5;1,4;5,9
"Wijk 00 Noord";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";1,6;0,9;2;3,1;1,3;2,4;5,4;8,5;7,1;0,1;1,4;5,7
"Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";0,9;1,7;3;3,4;0,7;4,9;8;10,2;5,6;0,1;1,7;5,2
"Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";2,9;0;0,6;5;2,9;0;0,8;12,1;8,4;0;1,5;5,1
"Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";0,6;1;1;1,3;0,6;1;1,8;2,9;8,4;0;1;6
"Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";2,3;0;2,3;4,6;0,5;0,9;8,2;12,1;9,2;0;1;6,7
"Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";5,6;0;0;0;5,6;0;0;0;7,2;0;2;6,8
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";2;0,3;2,5;3,7;1,9;0,5;6,6;10,4;5,6;0,2;1,5;6,2
"Verspreide huizen Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";2,4;0;0,7;5,4;2,4;0;1,4;12,7;7,8;0;1;5
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";1,9;0,1;0,9;1,3;1,9;0,1;1;3;8,7;0;1,8;6,3
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";3,3;0;0,3;4,4;1,9;0;2,2;11;8,2;0;1,3;6,3
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";5,6;0;0;1,1;5,6;0;0;3,2;7,3;0;1,6;5,6
"Wijk 01 Centrum";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";3,7;0;0,7;1,7;2,4;0,5;1,7;4,9;6;0,1;1,5;6,3
"Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";6,1;0;0;0;6,1;0;0;0;7,7;0;2;7,3
"Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";2,4;0;1,3;2;0,4;1;3,2;5;6,1;0;1;6
"Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";4,8;0;0;1,2;3,8;0;0,1;4,3;5,4;0,1;2;6,6
"Verspreide huizen Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";7;0;0;0;6,9;0;0;0;7,7;0;2;6,1
"Verspreide huizen Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";2,8;0;0,7;3,5;1,6;0,1;2,3;9,1;5,9;0,1;1;5,3
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";4,4;0;0,3;3,3;4,1;0;0,9;11,6;6,2;0,4;1,7;6,1
"Wijk 02 Zuid";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";1,3;1,2;3,4;5,6;1,1;5,6;12,2;21,1;2,3;1;1,3;5,9
"Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";0,7;1,9;4,9;6;0,5;10,6;18,6;22;0,8;1;1,4;6,6
"Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";0,6;0,9;3,1;5,7;0,5;2,6;9,7;21,6;3,2;1;1;5
"Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";3,8;0;0;5,5;3,8;0;0,4;20,6;3,8;1;1,4;6,8
"Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";3,1;0;0,3;4;3;0;0,6;19,1;3,7;1;2;5
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";1,7;0,6;3,9;5,7;1;1,7;15,9;21,2;2;1;1,6;6
"Verspreide huizen Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";1,9;0;1,7;5,5;1,7;0;5,7;21,7;4;1;1,4;5
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";3,7;0;1,3;3,5;3,7;0;5,8;14,3;3,8;0,7;1,3;6,6
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";4;0;0,1;3,8;2,8;0;1;15,4;4,5;0,7;2;5
"Alblasserdam";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";"1";0,7;1,7;5;7;0,5;6,2;18,2;29,9;1,4;1,3;5,8;28,1
"Wijk 01 Centrum";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";0,7;2,5;5;8,5;0,5;10,1;18;36,8;1;1,9;5,9;27,8
"Cortgene";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";0,6;2,5;5;8,2;0,4;10,7;18;34,1;0,8;1,7;6;28
"Redersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";0,4;3,8;5;8,2;0,3;14;18;35,2;0,7;2;6;28
"kerkbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";0,7;2,8;5;7,9;0,7;10,3;18;35,3;1,1;1,7;5,4;27,6
"Polderbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";0,7;0,9;5;10,2;0,5;5,6;17,9;43,1;1,5;2,2;6,5;27,4
"De Werven";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";0,7;2,1;5;8,9;0,6;9,5;18;39,1;1,1;2;6;28
"Wijk 02 Kinderdijk";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";0,6;0,9;5;6,1;0,5;3,1;19,2;24,6;2,1;1;5,9;30
"Dijk";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";1,1;0,5;4,8;6,7;0,9;1,5;19,4;25,3;2,4;1;5,8;30,6
"Vogelbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";0,5;1;5,1;6,1;0,4;3,1;19,3;24,5;2,2;1;5,6;30
"Waterland";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";0,4;1;5;6;0,4;4,9;18,2;24;1,5;1;6;29
"Groene Long";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1";1;1,2;5;7;0,9;4,2;18,5;29;1,5;1,3;6;29,2
"Rivierenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1";0,3;1;5;6;0,3;3,3;19;24,1;1,9;1;6;30
"Nieuw Kinderdijk";"Alblasserdam                            ";"Buurt     ";"BU04820206";"1";0,7;1;5,1;6,1;0,6;3;19,7;24,9;2,3;1;6;30
"Wijk 03 Blokweer";"Alblasserdam                            ";"Wijk      ";"WK048203  ";"1";0,6;2;5;6,3;0,4;7,5;18;26,4;1,2;1,1;5,9;28
"Zeelt";"Alblasserdam                            ";"Buurt     ";"BU04820301";"1";1,1;0,4;5;5,4;0,6;2,8;18;21,4;1,4;1;6;28
"Middelland";"Alblasserdam                            ";"Buurt     ";"BU04820302";"1";0,8;1,3;5;5,4;0,5;4,2;18;21,4;1,3;1;6;28
"Blokweer Noord";"Alblasserdam                            ";"Buurt     ";"BU04820303";"1";0,8;1;5;5,2;0,8;1,6;18;20,1;1,6;1;5,7;27,8
"Blokweer Zuid";"Alblasserdam                            ";"Buurt     ";"BU04820304";"1";0,3;1,6;5;6,5;0,3;5,4;18;28,5;1,3;1,1;5,8;27,9
"Drentsebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820305";"1";0,3;3,9;5;8;0,3;14,9;18;35,4;0,8;2;6;28
"Florabuurt";"Alblasserdam                            ";"Buurt     ";"BU04820306";"1";0,5;2,9;5;7,1;0,3;11,2;18;30,8;0,8;1,1;6;28
"Staatsliedenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820307";"1";0,7;2;5;6,1;0,3;7,8;18;24,5;1,1;1;6;28,3
"Wijk 04 Souburgh";"Alblasserdam                            ";"Wijk      ";"WK048204  ";"1";0,7;1;5;7;0,7;2,4;18;31,7;1,6;1,2;5,4;26,9
"Schildersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820401";"1";0,7;1;5;6;0,7;1;18;25,5;1,7;1;5;26,2
"Schrijversbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820402";"1";0,5;1,1;5;6,6;0,5;2,7;18;31,5;1,4;1,1;5,4;27,4
"Klein Alblas";"Alblasserdam                            ";"Buurt     ";"BU04820403";"1";1,3;0;5;10,6;1,3;0;18;47,9;1,9;2,2;6,1;26,1
"Oranjebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820404";"1";0,6;1,8;5;7,5;0,6;7,3;18;33,1;1,2;1,3;5,9;28
"Wijk 05 Bedrijventerrein";"Alblasserdam                            ";"Wijk      ";"WK048205  ";"1";1,2;0,1;4,8;11,2;1;2,6;17,2;46;2;2;6;26,1
"Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820501";"1";1;0,1;5;11,2;0,9;3;17,9;46,1;1,9;2;6,1;26,2
"Hoogendijk";"Alblasserdam                            ";"Buurt     ";"BU04820502";"1";;;;;;;;;;;;
"Nieuwland";"Alblasserdam                            ";"Buurt     ";"BU04820503";"1";2,1;0;4;11,2;1,9;0;13;45,7;2,9;2;6;26
"Wijk 06 Landelijk gebied";"Alblasserdam                            ";"Wijk      ";"WK048206  ";"1";1,7;0;4;8,9;1,7;0;14,9;39;2,4;1,9;6,1;25,8
"Polder Blokweer";"Alblasserdam                            ";"Buurt     ";"BU04820601";"1";;;;;;;;;;;;
"Polder Kortland";"Alblasserdam                            ";"Buurt     ";"BU04820602";"1";1,6;0;4,2;5,6;1,6;0;15,5;23;2,5;1;4,9;23,8
"Polder Souburgh";"Alblasserdam                            ";"Buurt     ";"BU04820603";"1";2,1;0,1;2,9;5,7;2;0,1;9,5;22,8;2,9;1,1;4,3;23,1
"Polder Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820604";"1";1,7;0;4,3;10,9;1,6;0;15,8;48,9;2,3;2,4;6,9;27
"Albrandswaard";"Albrandswaard                           ";"Gemeente  ";"GM0613    ";"1";0,9;0,9;4,8;16,7;0,8;3,2;18,6;56,2;1,9;1,8;7,5;32,6
"Wijk 01 Poortugaal-Noord";"Albrandswaard                           ";"Wijk      ";"WK061301  ";"1";1,2;0,1;5,3;15;1,2;0,7;19;49,4;2,1;2;6,4;31
"Valckesteyn";"Albrandswaard                           ";"Buurt     ";"BU06130101";"1";1,2;0,1;5,4;15;1,1;0,7;19,2;50;2,1;2;6,3;30,7
"Zwaardijk-Kruisdijk";"Albrandswaard                           ";"Buurt     ";"BU06130102";"1";1;0,6;5;15,2;1;1,5;20;50,3;1,5;2;7;32,8
"Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130103";"1";1,4;0;4;15,3;1,5;0;18;47,5;1,5;2;6,3;34,5
"Buitengebied Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130104";"1";2,2;0;3,9;14,2;2,2;0;14,9;37,5;2,4;1,5;6,6;33,5
"Wijk 02 Rhoon-Noord";"Albrandswaard                           ";"Wijk      ";"WK061302  ";"1";1,5;0,1;3,7;17;1,5;0,3;17,1;45,3;1,5;1,4;6,5;35
"Rhoon Noord";"Albrandswaard                           ";"Buurt     ";"BU06130205";"1";1,4;0,1;3,8;17;1,5;0,3;17,2;45,5;1,5;1,4;6,4;35
"Buitengebied Rhoon-Noord";"Albrandswaard                           ";"Buurt     ";"BU06130207";"1";1,8;0;2,4;12,1;1,8;0;13,4;35,9;1,9;1,1;8;33,4
"Wijk 03 Poortugaal-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061303  ";"1";0,8;1,2;6,2;14,7;0,8;2,3;21,6;48,1;2,3;1,9;5,9;27,9
"Beatrixstraat";"Albrandswaard                           ";"Buurt     ";"BU06130308";"1";0,4;2;10,4;15;0,3;4;27,5;50;2,4;2;6;29
"Landweg";"Albrandswaard                           ";"Buurt     ";"BU06130309";"1";0,8;1,3;5,6;15;0,8;2,3;20,9;50;2,2;2;6;27,9
"Poortugaal-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130310";"1";0,3;2;8,6;15;0,2;4;25,9;50;2,6;2;6;28,2
"Poortugaal Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1";1,2;0,7;4,6;14,5;1;1,2;19,2;46,8;2,2;2;5,7;27,7
"Polder Albrandswaard";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1";1,3;0,4;4,3;13,9;1,2;0,8;16,7;44,3;2,8;1,7;5,7;26,5
"Kijvelanden";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1";1,3;0,2;4;9,2;0,6;3,9;18;28,4;1,4;1,1;5,9;31,1
"Wijk 04 Rhoon-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1";0,8;1,3;2,7;12,9;0,7;7,6;15,5;35,3;1;1,1;7,1;33,9
"Rhoon-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1";0,4;2;3,9;16,1;0,3;11,9;17,9;40,3;0,5;1,4;6,3;33,8
"Ghijseland";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1";0,7;1,6;2,1;12,4;0,7;7,6;14,4;36,8;0,9;1;9;33,9
"Overhoeken";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1";1,4;0;2,6;14,5;1,4;0,1;14,8;52,3;1,6;1;10,1;34,5
"Park Rhoon";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1";0,4;2;3,4;13,6;0,3;13;17;34,4;0,5;1;6,2;33,5
"Rhoon-Zuidoost";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1";1,4;0;2;11;1,4;0,2;14;31,4;1,6;1;7,1;34
"Tijsjesdijk";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1";0,8;1,4;2,4;11,1;0,3;10,9;14,9;30,4;0,9;1;6;33,9
"Buitengebied Rhoon-Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1";1,9;0;2;12,3;1,9;0;13,5;38,8;2,1;1,4;8,1;34
"Wijk 05 Buitengebied Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1";2,3;0;1,9;9,1;2,1;0,2;8,8;33,5;2,4;1,6;6,1;34,2
"Portland-Koedoodzone";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1";2,4;0,1;2,7;7,6;2,3;0,2;9,5;35,1;2,5;2,1;7,5;34,2
"Buitengebied";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1";2,3;0;1,9;9,2;2,1;0,2;8,8;33,5;2,4;1,6;6;34,2
"Wijk 06 Portland";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1";0,7;0,8;5,6;22,9;0,7;1,5;19,4;89,5;2,3;2,4;10,1;35,8
"Driehoek";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1";0,6;1;8,1;28,3;0,6;2;26,8;119,2;2,7;3;11,2;35,1
"Portland-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1";0,4;1;7,2;27;0,4;2;26;109,3;2,4;3;11;35,3
"Wijkpark Portland";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1";1,2;0,6;2,4;16,9;1,2;1,2;8,5;60,8;2,5;2;9,2;36,1
"De Eilanden";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1";1;0,5;3,2;17,1;1;1;11,1;59,3;1,8;1,8;8,9;36,5
"Wijk 07 Rotterdam-Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1";;;;;;;;;;;;
"Distripark";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1";;;;;;;;;;;;
"Alkmaar";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";"1";0,9;1,7;11;21,1;0,7;8,7;54,5;92,7;2,4;3,4;7,1;15,4
"Zuid";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";0,7;2,3;14,9;25,9;0,4;16,7;87,2;119;0,9;4,7;7,8;17,5
"Kooimeer";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";0,5;3,7;13,3;24;0,5;11,1;84,4;112,5;0,6;4;7,3;18
"Dillenburg en Stadhouderskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";0,5;3,6;13,5;24;0,3;13,8;82,6;113,8;0,8;4,8;8;18
"Staatsliedenkwartier en Landstraten";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";0,6;3,7;14,7;27,2;0,4;39,3;85,2;124,5;1,1;5;8;18,2
"Oud-Rochdale";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";0,7;4,2;14,8;26,6;0,2;18,4;85,4;120,2;0,9;5;8;17,9
"Emmakwartier";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";1;1,2;15,3;25,9;0,4;20;86,9;119,9;1,1;5;8;17,2
"Nassaukwartier en Hout";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1";1;0,7;16,7;28;0,3;16,1;90,4;125,5;1;5;8;17,4
"Oranjepark";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1";0,6;1;14,9;24,9;0,5;6,8;90,5;114,5;0,9;4,1;7,2;17,1
"Cranenbroek";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1";1;0,3;15,1;27,5;0,8;1,8;85,4;122,4;1,6;4,9;7,6;16,9
"Bloemwijk en Zocherkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610108";"1";0,9;0,7;16,9;27;0,3;11,6;90,9;124,3;0,9;5,1;8;16,1
"Burgemeesterskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610109";"1";0,4;2,2;14,7;25;0,3;11,3;90,7;114,8;0,4;4,3;7,8;17,7
"Oudorp";"Alkmaar                                 ";"Wijk      ";"WK036102  ";"1";0,8;1,3;10,8;26,8;0,6;5,2;63,1;116,3;2,3;3,9;8;16,3
"Rekerbuurt en Ooievaarsnest";"Alkmaar                                 ";"Buurt     ";"BU03610200";"1";0,7;3,4;17;27,1;0,4;16,4;94,3;120;1,3;4;8;16,8
"Oudorp-Noord en Oudorp-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610201";"1";0,8;0,7;8,5;27,3;0,7;3,4;49;117,9;3;4;8;16,6
"Oudorp-Centrum";"Alkmaar                                 ";"Buurt     ";"BU03610202";"1";0,7;1,2;8,5;28;0,5;5,4;54,9;119,5;2,8;4;8;17
"Schermereiland en Omval";"Alkmaar                                 ";"Buurt     ";"BU03610203";"1";1,1;1,1;11,9;25,1;1,1;1,7;75,2;113,5;1,9;3,9;8;17
"Oudorperpolder-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610204";"1";0,6;1;10,2;26,1;0,5;2;72,2;114,4;2,2;4;8;16,7
"Oudorperpolder-Midden";"Alkmaar                                 ";"Buurt     ";"BU03610205";"1";0,4;1,2;9,7;27;0,3;2,8;73,1;115,8;2,2;4;8;16,6
"Oudorperpolder-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610206";"1";0,3;1,9;9,1;27,7;0,4;6,1;63,5;118,5;2,5;4;8;16,1
"De Nollen";"Alkmaar                                 ";"Buurt     ";"BU03610208";"1";1,6;0;9,4;25,9;0,9;0,8;21,7;109,8;2,9;3,3;8;13,2
"Beverkoog";"Alkmaar                                 ";"Buurt     ";"BU03610209";"1";2,2;0;2,9;28,7;1,4;0,1;10,1;97,1;3,4;2,9;7,7;13,2
"Overdie";"Alkmaar                                 ";"Wijk      ";"WK036103  ";"1";0,8;2,1;11,9;22,5;0,4;8,3;75;111,5;1,5;4,3;7,8;18
"Oud-Overdie";"Alkmaar                                 ";"Buurt     ";"BU03610300";"1";0,8;0,9;12,7;24,7;0,5;11,3;80,2;115,9;1,5;4,8;8;18,1
"Oosterhout";"Alkmaar                                 ";"Buurt     ";"BU03610301";"1";0,8;2,1;11,5;21;0,5;8,5;73,8;109,1;1,6;4,4;7,7;18
"Overdie-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610302";"1";0,8;2,6;11,5;21,1;0,3;5,2;71,4;108,7;1,6;4;7,6;18
"Overdie-West";"Alkmaar                                 ";"Buurt     ";"BU03610303";"1";0,4;3,5;11,9;22,7;0,4;9,7;73,9;110,9;1;4,2;7,8;18
"Boekelermeer-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610308";"1";;;;;;;;;;;;
"Boekelermeer-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610309";"1";2,1;0;5,1;15,7;1,7;0;40,6;87,2;2,9;3;7;18
"West";"Alkmaar                                 ";"Wijk      ";"WK036104  ";"1";0,6;1,7;11,6;26;0,5;5,7;75,5;119,1;1,5;4,8;7,1;14,9
"De Hoef III en IV";"Alkmaar                                 ";"Buurt     ";"BU03610400";"1";0,4;2,7;10,7;22,1;0,6;6,2;70,9;107,7;2;4,2;6,3;15,7
"De Hoef I en II";"Alkmaar                                 ";"Buurt     ";"BU03610401";"1";0,5;2,1;11,2;26,4;0,5;7,2;75,1;122,2;1,5;5,3;7;14,8
"Bergerwegkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610402";"1";0,9;1;13,3;29,2;0,6;7,8;83,8;129,3;1;5,3;7,7;15,2
"Bergerhof en Blaeustraatkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610403";"1";1;0,6;13,5;28,2;0,4;4,7;84,7;124,8;1,1;4,7;7,9;15,1
"Bergermeer";"Alkmaar                                 ";"Buurt     ";"BU03610404";"1";0,4;1;11,4;27,2;0,4;2,5;74,5;120,1;1,4;4,6;7,2;13,8
"Landelijk gebied-West";"Alkmaar                                 ";"Buurt     ";"BU03610409";"1";1,8;0;8,1;29,6;1,7;0;50,7;126,8;2,2;4,9;7,6;13,5
"Huiswaard";"Alkmaar                                 ";"Wijk      ";"WK036105  ";"1";0,6;1,2;15,4;28;0,6;2,8;79,3;120,4;1,5;4;8;14
"Huiswaard-1-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610500";"1";0,8;0,8;15,6;28;0,7;3;85,7;120;1,6;4;8;14
"Muiderwaard";"Alkmaar                                 ";"Buurt     ";"BU03610501";"1";0,3;1,6;14,6;28;0,2;4,6;81,8;120;1,6;4;8;14
"Huiswaard-2-West";"Alkmaar                                 ";"Buurt     ";"BU03610502";"1";0,5;1,5;15,4;28,1;0,5;3,1;79,1;120,4;1,5;4;8;14
"Huiswaard-2-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610503";"1";0,5;1,1;15,6;27,7;0,5;1,4;67,9;121,1;1,5;4;8;14
"De Mare";"Alkmaar                                 ";"Wijk      ";"WK036106  ";"1";0,8;2,5;10,8;21,6;0,7;5,1;30,6;94,6;1,2;3,2;8;13,1
"'t Rak-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610600";"1";0,8;1,1;12,8;26,1;0,7;3,5;44,9;116,6;1,7;3,6;8;13,3
"'t Rak-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610601";"1";1;1,2;9,6;16,5;1;1,9;23,7;63,3;1,5;2,4;8;13
"De Horn-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610602";"1";0,8;2,4;10,7;20;0,8;3,7;26,8;80,2;1,2;3,5;8;13
"De Horn-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610603";"1";0,8;3,2;10,5;23,3;0,7;7,2;27,6;108,7;0,8;3,2;8;13
"De Mare";"Alkmaar                                 ";"Buurt     ";"BU03610604";"1";0,3;5,6;10,1;20,7;0,3;10,8;26,4;99,9;0,7;3;8;13
"Daalmeer/Koedijk";"Alkmaar                                 ";"Wijk      ";"WK036107  ";"1";0,8;0,7;7,8;13,1;0,9;1,4;18,1;37,7;2,6;1,7;7,6;13
"Daalmeer-Zuidoost";"Alkmaar                                 ";"Buurt     ";"BU03610700";"1";0,4;1;9,3;15;0,3;3;23,2;45;2;2;7,9;13
"Daalmeer-Zuidwest";"Alkmaar                                 ";"Buurt     ";"BU03610701";"1";0,8;1,1;9;13,2;0,8;2,6;22,4;38,7;2,3;2;7,9;13
"Koedijk en De Weijdt";"Alkmaar                                 ";"Buurt     ";"BU03610702";"1";0,5;0,9;4,8;12,2;1;0,5;9,1;34,2;3,2;1,4;7,9;13
"Daalmeer-Noordwest";"Alkmaar                                 ";"Buurt     ";"BU03610703";"1";1,1;0,2;7,1;11,3;1,5;0;14,3;29,2;2,9;1,3;7,1;13
"Daalmeer-Noordoost";"Alkmaar                                 ";"Buurt     ";"BU03610704";"1";1,2;0,2;8,6;13,3;1,1;0,7;20,2;40,2;2,7;2;7;13
"Landelijk gebied Noord";"Alkmaar                                 ";"Buurt     ";"BU03610709";"1";2,6;0;1,9;13,1;2,7;0;7;39,8;3;2,2;6;12,5
"Centrum";"Alkmaar                                 ";"Wijk      ";"WK036108  ";"1";0,4;4,2;18,3;26,8;0,3;40,1;94,8;123,2;0,6;4,9;8;17,1
"Binnenstad-West";"Alkmaar                                 ";"Buurt     ";"BU03610800";"1";0,3;5,2;18,8;27,2;0,1;53,9;96,3;124,7;0,4;5;8;17,3
"Binnenstad-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610801";"1";0,3;4,4;17,6;26,2;0,2;48,1;94,1;122,9;0,8;5;8;17,8
"Spoorbuurt";"Alkmaar                                 ";"Buurt     ";"BU03610802";"1";0,7;2,8;18,2;27;0,3;20,3;92,4;123,1;0,4;4,8;8;16
"Overstad";"Alkmaar                                 ";"Buurt     ";"BU03610803";"1";0,4;3,9;19,3;27,4;0,7;15,8;98;119,8;1,1;4;8;16,4
"Schermer";"Alkmaar                                 ";"Wijk      ";"WK036109  ";"1";2,8;0,3;0,5;2,3;2,4;0,4;1;5,6;7,7;0,1;3,4;15,9
"Oterleek";"Alkmaar                                 ";"Buurt     ";"BU03610900";"1";2,6;0;1,2;9,2;1;0,7;1,6;15,3;5,2;0,6;6,6;13
