"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Stommeer";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";0,7;1,6;5,2;11,1;9,8;0,7;4,3;1;1,6;14;9,8;0;0,6;8;;;;;
"Hornmeer";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";1,2;0,2;6,2;11,4;10,5;1,7;3,9;1;1,1;14,1;10,5;0;0;8;;;;;
"Uiterweg";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";1,5;0,9;3,9;6,1;11,5;1,5;6,4;0;1;11,9;11,6;0;0;7,1;;;;;
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";0,8;1;2,1;7,3;12,5;0,9;5,4;0,3;1;11,5;12,5;0;0;5,5;;;;;
"Kudelstaart";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";0,8;1;2,1;7,3;12,5;0,9;5,4;0,3;1;11,5;12,5;0;0;5,5;;;;;
"Wijk 02 Oosteinde";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";1,1;0,4;2;8,7;6,7;1,2;5,9;0,1;2,6;12,2;6,7;0;1,6;7,9;;;;;
"Bovenlanden";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";1,7;0;3,1;7,6;7,7;1,7;6,2;0;2,2;13;7,7;0;1,2;8;;;;;
"Greenpark";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";1,5;0,1;3,1;8,7;7,8;1,5;5,2;0,4;2;12,3;7,8;0;1;7,5;;;;;
"Oosteinde";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";1;0,5;1,8;8,8;6,4;1;6;0;2,7;12;6,4;0;1,7;8;;;;;
"Schinkelpolder";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";2,3;0;1,3;8,3;5,8;2,7;5,8;0,1;3,4;12,1;5,8;0,1;2,5;8,1;;;;;
"Aalten";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";1,5;1,1;2,6;3,2;14,5;1,6;13,7;0;0,1;1,8;14,5;0;0,1;0,8;;;;;
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";3,7;0;0,9;2,9;13,4;3,8;13,3;0;0,2;2,7;13,4;0;0,1;1,2;;;;;
"Barlo-Kern";"Aalten                                  ";"Buurt     ";"BU01970101";"1";3,9;0;0;4,5;10,1;3,9;10,1;0;0,4;4;10,1;0;0,4;1;;;;;
"Verspreide huizen Barlo";"Aalten                                  ";"Buurt     ";"BU01970102";"1";3,5;0;0,3;4,7;10,7;3,5;10,5;0;0,4;3,8;10,7;0;0,3;1;;;;;
"Verspreide huizen Heurne";"Aalten                                  ";"Buurt     ";"BU01970103";"1";2,7;0;1,7;4;13,3;2,7;13,3;0;0;2;13,3;0;0;1;;;;;
