"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Huygenhoek";"Dijk en Waard                           ";"Wijk      ";"WK198024  ";"1";0,9;1,1;5,8;12,7;5,3;1;4;1;4;7;7,9;0;1;2;;;;;
"Huygenhoek Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802401";"1";0,5;2;7,1;12,8;5,5;0,5;3,6;1;4;7;8,1;0;1;2;;;;;
"Huygenhoek Midden";"Dijk en Waard                           ";"Buurt     ";"BU19802402";"1";1,2;0,6;5,1;13,2;5,1;1,2;4,1;1;4;7;7,7;0;1;2;;;;;
"Huygenhoek Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19802403";"1";1,6;0;4,1;11,8;5;1,7;4,7;1;4;6,8;7,6;0;1;1,8;;;;;
"Stad van de Zon";"Dijk en Waard                           ";"Wijk      ";"WK198025  ";"1";0,6;1;5,1;13,2;4,7;1,9;3,8;1;4;6,5;7,3;0;1;1,5;;;;;
"Stad van de Zon";"Dijk en Waard                           ";"Buurt     ";"BU19802501";"1";0,6;1;5,2;13,2;4,7;1,9;3,8;1;4;6,5;7,3;0;1;1,5;;;;;
"Park van Luna";"Dijk en Waard                           ";"Buurt     ";"BU19802502";"1";2;0,1;3,4;13,7;3,9;3;4,7;0,6;4;6,3;6,5;0;1;1,4;;;;;
"De Overtoom";"Dijk en Waard                           ";"Buurt     ";"BU19802503";"1";;;;;;;;;;;;;;;;;;;
"De Draai";"Dijk en Waard                           ";"Wijk      ";"WK198026  ";"1";1,1;0,6;5,3;10,7;9,1;1,9;3,8;1;1;7;11,7;0;0;2;;;;;
"De Draai Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802601";"1";1,4;0,3;4,9;10,2;9,4;2,1;3,9;1;1;7;12;0;0;2;;;;;
"De Draai Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19802602";"1";0,7;0,9;5,8;11,4;8,6;1,8;3,6;1;1;7;11,3;0;0;2;;;;;
"De Noord";"Dijk en Waard                           ";"Wijk      ";"WK198027  ";"1";2,9;0;1,3;6,7;9,9;3,4;5,2;0,3;1,2;6,2;13,7;0;0;1,9;;;;;
"De Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802701";"1";3,6;0;0,1;5,8;10,2;4;5,7;0,1;1,2;6;14,2;0;0;2;;;;;
"De Vaandel Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19802702";"1";1,5;0;4,8;11,7;8,8;1,5;3;1;1;7;11,5;0;0;2;;;;;
"Buitengebied De Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802703";"1";3;0;0,9;4,9;10,2;3,7;6;0,2;1,3;6;14,4;0;0;1,9;;;;;
"t Kruis";"Dijk en Waard                           ";"Wijk      ";"WK198028  ";"1";2,3;0;6,1;12,5;7,4;2,6;3,4;1;1,7;7;10,1;0;0,6;2;;;;;
"t Kruis";"Dijk en Waard                           ";"Buurt     ";"BU19802801";"1";2;0;8,1;12,8;7,2;2,1;2,9;1;1,9;7;9,8;0;0,9;2;;;;;
"Buitengebied 't Kruis";"Dijk en Waard                           ";"Buurt     ";"BU19802802";"1";2,6;0;3,7;12,1;7,7;3,1;4;0,9;1,5;7;10,3;0;0,3;2;;;;;
"Dinkelland";"Dinkelland                              ";"Gemeente  ";"GM1774    ";"1";2,1;0,6;1,5;2,4;19,2;2,3;10,4;0;0,5;2,3;19,2;0;0,1;0,9;;;;;
"Wijk 10 Denekamp";"Dinkelland                              ";"Wijk      ";"WK177410  ";"3";1;1;2,9;3;21,8;1,4;10,4;0;0,3;1;21,8;0;0;0;;;;;
"Centrum";"Dinkelland                              ";"Buurt     ";"BU17741010";"3";0,5;2,5;3;3;21,1;0,7;9,7;0;0,9;1;21,1;0;0;0;;;;;
"Kerkeres";"Dinkelland                              ";"Buurt     ";"BU17741011";"3";0,9;1,4;3;3;21,3;1,1;9,9;0;0,6;1;21,3;0;0;0;;;;;
"Klokkenberg";"Dinkelland                              ";"Buurt     ";"BU17741012";"3";0,6;2,1;3;3;20,7;0,6;9,3;0;1;1;20,7;0;0;0;;;;;
"Dorper-Es";"Dinkelland                              ";"Buurt     ";"BU17741013";"3";0,5;2,7;3;3;20,8;0,5;9,4;0;1;1;20,8;0;0;0;;;;;
"Veldkamp en Borchert";"Dinkelland                              ";"Buurt     ";"BU17741014";"3";0,4;1,7;3;3;21,6;1;10,2;0;0,2;1;21,6;0;0;0;;;;;
"Janskamp";"Dinkelland                              ";"Buurt     ";"BU17741015";"3";1;0,4;3;3;22,3;1,7;10,9;0;0;1;22,3;0;0;0;;;;;
"Diepengoor";"Dinkelland                              ";"Buurt     ";"BU17741017";"3";0,9;0,8;3;3;21,7;1,4;10,4;0;0;1;21,7;0;0;0;;;;;
"'t Pierik";"Dinkelland                              ";"Buurt     ";"BU17741020";"3";1,5;0;3;3;22;1,9;10,6;0;0;1;22;0;0;0;;;;;
"Remerink en Denekamp Oost";"Dinkelland                              ";"Buurt     ";"BU17741021";"3";1,5;0;3;3;22,3;2;10,9;0;0;1;22,3;0;0;0;;;;;
"Kloppendijk";"Dinkelland                              ";"Buurt     ";"BU17741050";"3";1,5;0;3;3;22,7;2,2;11,4;0;0;1;22,7;0;0;0;;;;;
"Sombeek";"Dinkelland                              ";"Buurt     ";"BU17741051";"3";;;;;;;;;;;;;;;;;;;
"Buitengebied Denekamp";"Dinkelland                              ";"Buurt     ";"BU17741099";"3";2,5;0;1,8;2,9;22,9;2,9;11,5;0;0,1;1;22,9;0;0;0;;;;;
"Wijk 11 Lattrop-Breklenkamp";"Dinkelland                              ";"Wijk      ";"WK177411  ";"3";6,8;0;0;0;28,1;7;16,8;0;0;0,9;28,1;0;0;0;;;;;
"Lattrop kern";"Dinkelland                              ";"Buurt     ";"BU17741110";"3";6,5;0;0;0;27,7;6,5;16,3;0;0;1;27,7;0;0;0;;;;;
"Verspreide huizen Breklenkamp";"Dinkelland                              ";"Buurt     ";"BU17741198";"3";8,9;0;0;0;30,6;8,9;19,3;0;0;0,7;30,6;0;0;0;;;;;
"Verspreide huizen Lattrop";"Dinkelland                              ";"Buurt     ";"BU17741199";"3";6,3;0;0;0;27,5;6,6;16,1;0;0;1;27,5;0;0;0;;;;;
"Wijk 12 Tilligte";"Dinkelland                              ";"Wijk      ";"WK177412  ";"3";4,2;0;0;1,2;24,6;4,2;13,7;0;0;1;24,6;0;0;0;;;;;
"Tilligte kern";"Dinkelland                              ";"Buurt     ";"BU17741210";"3";4,1;0;0;1;24,8;4,1;13,7;0;0;1;24,8;0;0;0;;;;;
"Verspreide huizen Tilligte";"Dinkelland                              ";"Buurt     ";"BU17741299";"3";4,2;0;0;1,3;24,4;4,2;13,7;0;0;1;24,4;0;0;0;;;;;
"Wijk 13 Agelo";"Dinkelland                              ";"Wijk      ";"WK177413  ";"3";2,7;0;0,7;1,5;19,8;2,7;11,2;0;0,2;1,8;19,8;0;0;0,8;;;;;
"Verspreide huizen Groot Agelo";"Dinkelland                              ";"Buurt     ";"BU17741398";"3";2,9;0;0,6;1,8;19,1;2,9;11,1;0;0,2;2,2;19,1;0;0;1,1;;;;;
"Verspreide huizen Klein Agelo";"Dinkelland                              ";"Buurt     ";"BU17741399";"3";2,2;0;0,9;1,1;21,2;2,2;11,5;0;0,1;1,1;21,2;0;0;0,1;;;;;
"Wijk 14 Noord Deurningen";"Dinkelland                              ";"Wijk      ";"WK177414  ";"3";3,1;0;0,7;2,9;24,2;3,7;12,8;0;0;1;24,2;0;0;0;;;;;
"Noord Deurningen kern";"Dinkelland                              ";"Buurt     ";"BU17741410";"3";3,2;0;0;3;24,4;3,8;13;0;0;1;24,4;0;0;0;;;;;
"Verspreide huizen Noord Deurningen";"Dinkelland                              ";"Buurt     ";"BU17741499";"3";3;0;1,2;2,8;24,2;3,7;12,8;0;0;1;24,2;0;0;0;;;;;
"Wijk 15 Ootmarsum";"Dinkelland                              ";"Wijk      ";"WK177415  ";"3";0,9;0,6;1;1;22,1;0,9;12,6;0;0;1;22,1;0;0;0;;;;;
"Ootmarsum Kern";"Dinkelland                              ";"Buurt     ";"BU17741510";"3";0,3;1;1;1;21,8;0,3;12,6;0;0;1;21,8;0;0;0;;;;;
"Ootmarsum Randkern";"Dinkelland                              ";"Buurt     ";"BU17741511";"3";0,4;1;1;1;21,9;0,4;12,7;0;0;1;21,9;0;0;0;;;;;
"villapark Stobbenkamp";"Dinkelland                              ";"Buurt     ";"BU17741512";"3";0,7;1;1;1;21,8;0,7;12,6;0;0;1;21,8;0;0;0;;;;;
"Cellenkamp Palthenkamp";"Dinkelland                              ";"Buurt     ";"BU17741513";"3";0,8;0,8;1;1;22,3;0,8;12,8;0;0;1;22,3;0;0;0;;;;;
"Moerbekkenkamp";"Dinkelland                              ";"Buurt     ";"BU17741514";"3";0,6;1;1;1;22,5;0,6;13,3;0;0;1;22,5;0;0;0;;;;;
"Wildehof";"Dinkelland                              ";"Buurt     ";"BU17741515";"3";1,2;0,1;1;1;22,3;1,2;12,5;0;0;1;22,3;0;0;0;;;;;
"Vinke-Brookhuis";"Dinkelland                              ";"Buurt     ";"BU17741516";"3";1,6;0;1;1;21,9;1,6;12,1;0;0;1;21,9;0;0;0;;;;;
"De Mors";"Dinkelland                              ";"Buurt     ";"BU17741550";"3";0,8;0,8;1;1;22,7;0,8;13,3;0;0;1;22,7;0;0;0;;;;;
"Verspreide huizen Ootmarsum-Oost";"Dinkelland                              ";"Buurt     ";"BU17741598";"3";1,8;0;1;1;23,1;1,8;13,3;0;0;1;23,1;0;0;0;;;;;
"Verspreide huizen Ootmarsum-West";"Dinkelland                              ";"Buurt     ";"BU17741599";"3";0,9;0,6;1;1;21,7;0,9;13,1;0;0;1;21,7;0;0;0;;;;;
"Wijk 16 Weerselo";"Dinkelland                              ";"Wijk      ";"WK177416  ";"3";1;1,4;1,8;2,5;14,2;1;8,3;0;1;4,9;14,2;0;0;2,9;;;;;
"Weerselo kern";"Dinkelland                              ";"Buurt     ";"BU17741610";"3";0,6;2;2;2;14,1;0,6;8,4;0;1;5;14,1;0;0;3;;;;;
"Eertman";"Dinkelland                              ";"Buurt     ";"BU17741611";"3";0,4;2;2;2;14,2;0,4;8,5;0;1;5;14,2;0;0;3;;;;;
"Reestman";"Dinkelland                              ";"Buurt     ";"BU17741612";"3";0,5;1,7;2;2;14,8;0,5;9,1;0;1;5;14,8;0;0;3;;;;;
"'t Stift";"Dinkelland                              ";"Buurt     ";"BU17741613";"3";1,5;0;2;2;14,7;1,5;9,6;0;1;5;14,7;0;0;3;;;;;
"'t Spikkert";"Dinkelland                              ";"Buurt     ";"BU17741614";"3";0,3;2;2;2;14,6;0,3;8,8;0;1;5;14,6;0;0;3;;;;;
"Echelpoel";"Dinkelland                              ";"Buurt     ";"BU17741650";"3";1;0,9;2;2;13,5;1;7,9;0;1;5;13,5;0;0;3;;;;;
"Verspreide huizen Weerselo";"Dinkelland                              ";"Buurt     ";"BU17741699";"3";2,3;0,1;1,4;3,8;14,2;2,4;7,6;0,1;0,9;4,5;14,2;0;0;2,5;;;;;
"Wijk 17 Rossum";"Dinkelland                              ";"Wijk      ";"WK177417  ";"3";4,2;0;0,2;2,8;17,2;4,8;6;0,1;1;3,9;17,2;0;0;1,9;;;;;
"Rossum kern";"Dinkelland                              ";"Buurt     ";"BU17741710";"3";4,4;0;0;2,5;17,1;5,1;5,7;0;1;4;17,1;0;0;2;;;;;
"Verspreide huizen Rossum";"Dinkelland                              ";"Buurt     ";"BU17741799";"3";4;0;0,4;3,3;17,4;4,4;6,3;0,3;1;3,8;17,4;0;0;1,8;;;;;
"Wijk 18 Saasveld";"Dinkelland                              ";"Wijk      ";"WK177418  ";"3";4,5;0;0,1;1,5;10,7;4,5;10,2;0;0,3;5;10,7;0;0,2;3;;;;;
"Saasveld kern";"Dinkelland                              ";"Buurt     ";"BU17741810";"3";4,8;0;0;1,7;10,4;4,8;10,4;0;0;5;10,4;0;0;3;;;;;
"Verspreide huizen Saasveld";"Dinkelland                              ";"Buurt     ";"BU17741899";"3";4,3;0;0,1;1,4;10,9;4,3;10,1;0;0,5;5;10,9;0;0,3;3;;;;;
"Wijk 19 Deurningen";"Dinkelland                              ";"Wijk      ";"WK177419  ";"3";3,1;0;0,6;4,6;7,9;3,1;7,2;0;2;5,2;7,9;0;1;3;;;;;
"Deurningen kern";"Dinkelland                              ";"Buurt     ";"BU17741910";"3";3;0;0,6;5;7,5;3;7,4;0;2;5,3;7,5;0;1;3;;;;;
"Verspreide huizen Deurningen";"Dinkelland                              ";"Buurt     ";"BU17741999";"3";3,4;0;0,5;3,9;8,7;3,4;6,9;0,1;1,9;5,1;8,7;0;0,9;2,9;;;;;
"Wijk 20 Nutter";"Dinkelland                              ";"Wijk      ";"WK177420  ";"3";2,6;0;0,7;1;21,3;2,6;15;0;0;1,1;21,3;0;0;0;;;;;
"Verspreide huizen Nutter";"Dinkelland                              ";"Buurt     ";"BU17742099";"3";2,6;0;0,7;1;21,3;2,6;15;0;0;1,1;21,3;0;0;0;;;;;
"Wijk 21 Oud Ootmarsum";"Dinkelland                              ";"Wijk      ";"WK177421  ";"3";2,1;0,1;0,7;1;23,9;2,1;14,8;0;0;1;23,9;0;0;0;;;;;
"Verspreide huizen Oud Ootmarsum";"Dinkelland                              ";"Buurt     ";"BU17742199";"3";2,1;0,1;0,7;1;23,9;2,1;14,8;0;0;1;23,9;0;0;0;;;;;
"Doesburg";"Doesburg                                ";"Gemeente  ";"GM0221    ";"1";1;0,6;2;2,5;10,9;1,3;1,3;1;2,2;6,5;11;0;0,2;3,5;;;;;
"Wijk 01";"Doesburg                                ";"Wijk      ";"WK022101  ";"1";1;0,6;2;2,5;10,9;1,3;1,3;1;2,2;6,5;11;0;0,2;3,5;;;;;
"De oude Stad binnen de gracht";"Doesburg                                ";"Buurt     ";"BU02210100";"1";0,9;0,6;2;2,3;11,3;0,9;0,9;1;2;7;11,4;0;0;4;;;;;
"Noordelijk Molenveld";"Doesburg                                ";"Buurt     ";"BU02210101";"1";1,3;0;2;3;11,7;1,3;1,3;1;2;7;11,8;0;0;4;;;;;
"Zuidelijk Molenveld";"Doesburg                                ";"Buurt     ";"BU02210102";"1";1;0,4;2;3;11,4;1;1;1;2;7;11,5;0;0;4;;;;;
"De Ooi";"Doesburg                                ";"Buurt     ";"BU02210103";"1";1,4;0,2;2;3;11,3;1,4;1,4;1;2;6;11,4;0;0;3;;;;;
"Beinum I";"Doesburg                                ";"Buurt     ";"BU02210104";"1";0,6;1;2;2;9,9;1,3;1,3;1;2,5;6,3;10,1;0;0,5;3,3;;;;;
"Beinum II";"Doesburg                                ";"Buurt     ";"BU02210105";"1";0,7;0,8;2;2;9,8;1,9;1,9;1;2,5;6,3;9,9;0;0,5;3,3;;;;;
"Bedrijventerrein Beinum";"Doesburg                                ";"Buurt     ";"BU02210106";"1";1,4;0;2;2,1;10,6;1,4;1,4;1;2;6;10,7;0;0;3;;;;;
"Bedrijventerrein Verhuellweg";"Doesburg                                ";"Buurt     ";"BU02210107";"1";;;;;;;;;;;;;;;;;;;
"Verspreide huizen Noordoost";"Doesburg                                ";"Buurt     ";"BU02210108";"1";3,7;0;0,2;2,4;11,8;3,8;4;0,8;2;6;11,8;0;0;3;;;;;
"Verspreide huizen Fraterswaard-Noordoost";"Doesburg                                ";"Buurt     ";"BU02210109";"1";3;0;0,6;1,9;13,4;3;3;1;2;6,6;13,5;0;0;3,6;;;;;
"Verspreide huizen IJssel en Oude IJssel";"Doesburg                                ";"Buurt     ";"BU02210110";"1";1,9;0;2;3;11,6;1,9;1,9;1;2;6;11,7;0;0;3;;;;;
"Doetinchem";"Doetinchem                              ";"Gemeente  ";"GM0222    ";"1";1,1;1;4,7;8,8;3,9;1,5;3,3;1,5;2,1;5,1;3,9;0,8;1;1,9;;;;;
"Centrum";"Doetinchem                              ";"Wijk      ";"WK022201  ";"1";0,6;2,2;7,3;10,7;1,5;0,7;1,4;2;2;6;1,6;1;1;2;;;;;
"Stadscentrum";"Doetinchem                              ";"Buurt     ";"BU02220101";"1";0,8;1,7;7,7;11;1,6;0,8;1,6;2;2;6;1,7;1;1;2;;;;;
"Torenallee";"Doetinchem                              ";"Buurt     ";"BU02220102";"1";0,8;1,2;8;11;1,1;1,1;1,2;2;2;6,3;1,2;1;1;2,3;;;;;
"Het Loo";"Doetinchem                              ";"Buurt     ";"BU02220103";"1";0,6;2,8;7,6;11;0,8;0,6;0,9;2;2;6,1;0,9;1;1;2,1;;;;;
"Stadscentrum - noord";"Doetinchem                              ";"Buurt     ";"BU02220104";"1";0,5;2,7;7;10,8;1,3;0,6;1,4;2;2;6;1,4;1;1;2;;;;;
"De Pas - noord";"Doetinchem                              ";"Buurt     ";"BU02220105";"1";0,6;2,4;7;10,3;1,7;0,7;1,6;2;2;6;1,8;1;1;2;;;;;
"De Pas - zuid";"Doetinchem                              ";"Buurt     ";"BU02220106";"1";0,6;1,7;7;10,4;2,1;0,6;1,4;2;2;6;2,2;1;1;2;;;;;
"Overstegen";"Doetinchem                              ";"Wijk      ";"WK022202  ";"1";1,5;0,3;6,2;8,1;2,5;2;2,3;2;2;5;2,4;1;1;1,5;;;;;
"Muziekbuurt";"Doetinchem                              ";"Buurt     ";"BU02220201";"1";0,7;1,5;7;9,7;2,2;1,5;2,1;2;2;5,9;2,3;1;1;2;;;;;
"Schrijvers en dichtersbuurt";"Doetinchem                              ";"Buurt     ";"BU02220202";"1";1;0,6;7;10;1,6;1,1;1,5;2;2;6;1,5;1;1;2;;;;;
"Wiltinksbrug";"Doetinchem                              ";"Buurt     ";"BU02220203";"1";1;0,7;6,1;7,3;2,7;2;2,2;2;2;4,6;2,8;1;1;1,5;;;;;
"Overstegen - west";"Doetinchem                              ";"Buurt     ";"BU02220204";"1";1,8;0;6,2;7,4;2,5;2,1;2,4;2;2;5;2,4;1;1;1,3;;;;;
"Overstegen - oost";"Doetinchem                              ";"Buurt     ";"BU02220205";"1";1,9;0;5,6;7,1;3,2;2,7;2,9;2;2;4;3,1;1;1;1;;;;;
"Wonninkhage";"Doetinchem                              ";"Buurt     ";"BU02220206";"1";2;0;5,8;7,2;2,5;2,2;2,4;2;2;5;2,4;1;1;1,4;;;;;
"Wassinkbrink - zuidoost";"Doetinchem                              ";"Buurt     ";"BU02220208";"1";3,1;0;1;8,1;3,9;3,2;3,8;2;2;4,3;3,8;1;1;1,3;;;;;
"Schoneveld";"Doetinchem                              ";"Wijk      ";"WK022203  ";"1";0,4;2;6,8;9,5;2,4;1,6;1,7;2;2;5,7;2,5;1;1;2;;;;;
"Holterhoek";"Doetinchem                              ";"Buurt     ";"BU02220301";"1";0,6;1,9;7;10;2,5;1,3;1,2;2;2;6;2,6;1;1;2;;;;;
"Schöneveld - zuid";"Doetinchem                              ";"Buurt     ";"BU02220302";"1";0,3;2;6,5;9,4;2,5;1,7;1,6;2;2;5,5;2,6;1;1;2;;;;;
"Schöneveld - noord";"Doetinchem                              ";"Buurt     ";"BU02220303";"1";0,4;2;6,9;9,5;2,3;1,5;1,8;2;2;5,8;2,4;1;1;2;;;;;
"Oosseld / Vijverberg";"Doetinchem                              ";"Wijk      ";"WK022204  ";"1";2,5;0,1;2,8;8,7;4,5;2,8;2,2;1,7;2;4,2;4,6;0,8;1;1,4;;;;;
"Oosseld / Vijverberg - zuidwest";"Doetinchem                              ";"Buurt     ";"BU02220401";"1";2,2;0,1;3,6;10;3,9;2,2;1,3;2;2;4,5;4;1;1;1,6;;;;;
"Buitengebied - Polmanlaan";"Doetinchem                              ";"Buurt     ";"BU02220402";"1";2,5;0;1,6;8,9;5,3;3,4;2,6;1,4;2;3,5;5,4;0,4;1;1,5;;;;;
"Buitengebied - de Wrange";"Doetinchem                              ";"Buurt     ";"BU02220403";"1";2,3;0;1,1;7,1;5,9;4,1;3,3;1;2;3,1;6;0;1;1;;;;;
"Vijverberg";"Doetinchem                              ";"Buurt     ";"BU02220404";"1";2,7;0;2,2;9;4,4;2,7;1,7;2;2;3,4;4,5;1;1;1;;;;;
"Buitengebied - Groenendaal";"Doetinchem                              ";"Buurt     ";"BU02220405";"1";1,6;1;4,2;8,6;3,7;2,4;1,7;1,8;2;4,4;3,8;0,8;1;1,2;;;;;
"Buitengebied - Nutselaer / Abdij";"Doetinchem                              ";"Buurt     ";"BU02220406";"1";3,4;0;0,2;5,4;6;4,7;4,4;0,7;2;3,9;6,1;0,1;1;1;;;;;
"Buitengebied - IJzevoorde";"Doetinchem                              ";"Buurt     ";"BU02220407";"1";3,1;0;1,3;6,1;4,8;3,9;4;1,4;2;4;4,7;0,6;1;1;;;;;
"Buitengebied - Slangenburg";"Doetinchem                              ";"Buurt     ";"BU02220408";"1";4,1;0;0,1;0,9;9,1;5,9;8,3;0;2;3,9;9;0;1;1;;;;;
"Verheulsweide (bedrijventerrein)";"Doetinchem                              ";"Wijk      ";"WK022205  ";"1";1;0,7;6,5;10,7;2,4;1;1,3;2;2;5,8;2,5;1;1;2;;;;;
"Hamburgerbroek";"Doetinchem                              ";"Buurt     ";"BU02220501";"1";0,4;1;7;11;2,1;0,4;1,3;2;2;6;2,2;1;1;2;;;;;
"Verheulsweide - noord";"Doetinchem                              ";"Buurt     ";"BU02220502";"1";1,1;0;6,9;10;2,7;1,1;0,7;2;2;6;2,8;1;1;2;;;;;
"Verheulsweide - zuid";"Doetinchem                              ";"Buurt     ";"BU02220503";"1";1,8;0;4,7;10,7;3,4;1,8;0,8;2;2;5,3;3,5;1;1;2;;;;;
"Buitengebied - Kemnaderallee";"Doetinchem                              ";"Buurt     ";"BU02220504";"1";2,9;0;1;8,6;5,3;3,5;2,5;1,1;2;3,8;5,4;0,1;1;1,8;;;;;
"Iseldoks";"Doetinchem                              ";"Buurt     ";"BU02220505";"1";0,7;1;7;11;2;0,7;1,4;2;2;6;2,1;1;1;2;;;;;
"De Huet";"Doetinchem                              ";"Wijk      ";"WK022206  ";"1";1,1;0,7;4,7;10,2;3,4;1,5;3,5;1,4;2;5;3,5;1;1;2;;;;;
"De Hoop - noord";"Doetinchem                              ";"Buurt     ";"BU02220601";"1";1,7;0;6,5;11;2;1,8;2,1;2;2;5;2,1;1;1;2;;;;;
"De Huet - fase 1 + 3";"Doetinchem                              ";"Buurt     ";"BU02220602";"1";0,9;1;6,7;11,5;2,9;1,1;3;2;2;5;3;1;1;2;;;;;
"De Huet - fase 2";"Doetinchem                              ";"Buurt     ";"BU02220603";"1";1,4;0,2;4,4;10,7;3,3;1,7;3,4;1,6;2;5;3,4;1;1;2;;;;;
"De Huet - fase 4";"Doetinchem                              ";"Buurt     ";"BU02220604";"1";0,6;2,3;4;10,1;3,8;0,8;3,9;1;2;5;3,9;1;1;2;;;;;
"De Huet - fase 6 + 7";"Doetinchem                              ";"Buurt     ";"BU02220605";"1";0,4;1,2;4;9;4,3;1,3;4,4;1;2;5;4,4;1;1;2;;;;;
"De Huet - fase 5";"Doetinchem                              ";"Buurt     ";"BU02220606";"1";1,6;0;3,2;9,4;3,9;1,9;4;1;2;5;4;1;1;2;;;;;
"Sportpark Zuid";"Doetinchem                              ";"Buurt     ";"BU02220607";"1";;;;;;;;;;;;;;;;;;;
"Bedrijventerrein De Huet";"Doetinchem                              ";"Buurt     ";"BU02220608";"1";2;0;5;11,1;3;2,2;3,1;1,5;2;5;3,1;1;1;2;;;;;
"Buitengebied - De Huet";"Doetinchem                              ";"Buurt     ";"BU02220609";"1";3,5;0;0;7,6;4,8;3,6;4,9;0,7;2,5;6;4,9;0,7;1;3;;;;;
"Dichteren / De Hoop / Wijnbergen";"Doetinchem                              ";"Wijk      ";"WK022207  ";"1";1,1;1;4,1;11,5;3,8;1,1;3,5;2;2;4,6;3,9;1;1;2;;;;;
"Romantische buurt - noord";"Doetinchem                              ";"Buurt     ";"BU02220702";"1";0,6;1,6;4;11;3,9;0,6;4;1,8;2;4,9;4;1;1;2;;;;;
"Romantische buurt - zuid";"Doetinchem                              ";"Buurt     ";"BU02220703";"1";0,9;1,1;4;11;4,2;0,9;4,3;2;2;4,7;4,3;1;1;2;;;;;
"Landelijk wonen";"Doetinchem                              ";"Buurt     ";"BU02220704";"1";1,3;0;3,6;12,6;4,5;1,3;3,7;2;2;4;4,6;1;1;2;;;;;
"Kleurrijke buurt";"Doetinchem                              ";"Buurt     ";"BU02220705";"1";0,7;0,9;3,5;11,8;3,7;0,7;3,7;2;2;4;3,8;1;1;2;;;;;
"Stadskwartier - zuid";"Doetinchem                              ";"Buurt     ";"BU02220706";"1";0,6;1,8;4,1;11,9;3,9;0,6;3,9;2;2;4,8;4;1;1;2;;;;;
"Stadskwartier - noord";"Doetinchem                              ";"Buurt     ";"BU02220707";"1";0,6;2,6;4;11;3,9;0,6;4;2;2;5;4;1;1;2;;;;;
"Buitengebied - Dichteren";"Doetinchem                              ";"Buurt     ";"BU02220708";"1";1,7;0;4,7;12,4;3,7;1,7;3,2;2;2;4,4;3,8;1;1;2;;;;;
"Bedrijventerrein Wijnbergen";"Doetinchem                              ";"Buurt     ";"BU02220709";"1";;;;;;;;;;;;;;;;;;;
"Wijnbergen - Het Westen";"Doetinchem                              ";"Buurt     ";"BU02220710";"1";1,3;0;4,5;11,9;3,3;1,3;2,9;2;2;4,8;3,4;1;1;2;;;;;
"Wijnbergen - Het Midden";"Doetinchem                              ";"Buurt     ";"BU02220711";"1";1,9;0;3,1;11,5;3,8;1,9;2,3;2;2;4;3,9;1;1;2;;;;;
"Wijnbergen - De Kwekerij";"Doetinchem                              ";"Buurt     ";"BU02220712";"1";2,5;0;4,3;10,9;3;2,6;2,5;2;2;4,9;3,1;1;1;2;;;;;
